ID,CAMPAIGNID
6d6a177a398b7ea506a54a686d65033da5959701,adbf5a778175ee757c34d0eba4e932bc
41bb015411d5490bab26c264aff0b567620d86f2,2b7203e1d1b1c3dd4615bdd0ffe60736
1eb4a3475ba26453a3de239f4ba5366d347934f6,39060730d62be825ebb599711124309a
4bacc472a2628bf5e942bd8b96f0e0b670e39596,39060730d62be825ebb599711124309a
5f308db0d58bb73ace1f7387ff32689916465a7d,2b7203e1d1b1c3dd4615bdd0ffe60736
4cd2aede5951884fbb86f535d63eb14c86a65e38,39060730d62be825ebb599711124309a
ef1d00e9484392fcd0e3ad86cf5b48bd2e665125,2b7203e1d1b1c3dd4615bdd0ffe60736
16bd61a93419378ae6bf4c45b12c89ae0b63a850,bff149a0b87f5b0e00d9dd364e9ddaa0
584d46f3820781d99074d058333a3aecd6e6b7f4,396ac2a33748bb784077f4112335faa0
4bee7b16025a5c30a59b449a5372e6598a511951,49f0bad299687c62334182178bfd75d8
a8048640197a4d713327ebde1547251bdedcdb85,2b7203e1d1b1c3dd4615bdd0ffe60736
898f7d8baaa4833c7b9483d795388bb51b82dc61,2b7203e1d1b1c3dd4615bdd0ffe60736
b6f749b376f823e5d40f609d9c53007abbda8a13,b5b037a78522671b89a2c1b21d9b80c6
7614d968ff112440cd09be4104e7af1d531ba9ec,b5b037a78522671b89a2c1b21d9b80c6
c492d03f7711fe0919e0fff6b886ceff8665e61d,396ac2a33748bb784077f4112335faa0
30675092749f98b691a3a4c19569b1339ee0e220,396ac2a33748bb784077f4112335faa0
8b7327f5d2a62aebdc9383b7d00d4b65ab1142e4,b5b037a78522671b89a2c1b21d9b80c6
d5fc5b64139f4e8dfff37ec533f64cf34c67a475,b5b037a78522671b89a2c1b21d9b80c6
2470cd013203dbe28cde15f5de08d1c294871d12,2b7203e1d1b1c3dd4615bdd0ffe60736
f42c9624692e8ce584e6a106316e121be7987b27,396ac2a33748bb784077f4112335faa0
d486ae5b7f617a1c112c9908c07d398e7e1ac15d,49f0bad299687c62334182178bfd75d8
70dc8bc7cadb8a11900367df2cddc304cc47c0f8,396ac2a33748bb784077f4112335faa0
02bdc696ec7033ea884a6ae48ec6adec480b5921,39060730d62be825ebb599711124309a
80239debb2886acde3e0877cdbedbc8b75073d2e,49f0bad299687c62334182178bfd75d8
d3206f97f4be6cf2f98496655614aa4c00ec92d0,bff149a0b87f5b0e00d9dd364e9ddaa0
a0f955a660b8724d88f044a6648ce5fc0a10fc52,39060730d62be825ebb599711124309a
87b741764172e1d4a3180c759126c9bb6d4df6ab,2b7203e1d1b1c3dd4615bdd0ffe60736
b18d3a1350a9885a51107157f05426a0fd7899ee,39060730d62be825ebb599711124309a
ada84b68745bc95459ab08265d5ee562de57cc56,39060730d62be825ebb599711124309a
0dd9764583b86e18571989b0aef4164f54ec46b9,2b7203e1d1b1c3dd4615bdd0ffe60736
3ca1e668d122b4acc8d92cc0052b0898b3720d9f,39060730d62be825ebb599711124309a
70778b19e48901df20e7e10c248d49ef5ff32600,396ac2a33748bb784077f4112335faa0
2b74962f714012f09edc181c1e132a69b68b0199,39060730d62be825ebb599711124309a
ab20b0a9cee9ed834b6c6091c6f8287f93215366,b5b037a78522671b89a2c1b21d9b80c6
